SIDO_NM,VISIT_AREA_NM,VISIT_AREA_TYPE_CD
파주시,프로방스마을,7
NaN,친구/친지집,22
화성시,병점역 1호선,9
서울특별시,더현대서울,4
강릉시,강릉중앙시장,4
NaN,청계천,7
서울특별시,새절역 6호선,9
부천시,송내역 1호선,22
수원시,장안순대국,11
NaN,집,21
가평군,유일닭강정,11
서울특별시,숙이네닭발,11
고양시,삼송역 3호선,7
서울특별시,베드스테이션 선릉점,24
서울특별시,꿈의숲SK뷰아파트,22
서울특별시,서울 그로서리 클럽,3
NaN,제부도 워터워크,2
의정부시,의정부제일시장,4
서울특별시,서울역,9
수원시,넘버25 수원화성행궁점,24
음성군,대소버스공동정류장,9
청주시,청주시외버스터미널,9
서울특별시,경복궁,2
서울특별시,도새기식당,11
가평군,스위티안호텔 레스토랑,11
대전광역시,갤러리아백화점 타임월드점,4
서울특별시,집나온거북이,24
NaN,자라섬재즈페스티벌,8
양평군,더포레스트원,24
가평군,자잠157,11
서울특별시,아모레퍼시픽미술관,3
부산광역시,숙소,24
서울특별시,세운전자상가,2
의정부시,의정부SK뷰아파트,22
서울특별시,명동칼국수샤브샤브 잠실점,11
고양시,고양꽃전시관,3
안양시,안양대우아파트,22
남양주시,이마트 남양주점,4
NaN,아차산 4보루,1
서울특별시,안다즈 서울강남,24
NaN,송도센트럴파크,7
수원시,포토아이브 수원행궁점,10
고양시,제주은희네해장국 고양삼송점,11
김포시,가천린포크 김포점,11
수원시,호텔달,24
NaN,남도꽃정원,1
의왕시,사무실,23
수원시,킵댓 본점,11
서울특별시,용산역,9
고양시,아이씨티일산오피스텔,21
NaN,서울숲,1
여주시,대신농협하나로마트,10
서울특별시,탬버린즈 플래그십 스토어,10
의정부시,메가박스 의정부민락,3
NaN,알마레,11
서울특별시,꽁티드툴레아 도산점,11
가평군,아침고요수목원,1
인천광역시,수블라키아 콩스탕스,11
서울특별시,다비치안경 명동점,10
평택시,호맥 평택역점,11
구리시,동구릉,2
NaN,난지한강공원,1
NaN,동인동,11
서울특별시,북악팔각정,7
김포시,인생네컷 김포라베니체수변공원점,10
NaN,두타.밀리오레,4
서울특별시,몰또 이탈리안 에스프레소바 앤 테라스,11
서울특별시,카페노티드 청담,11
서울특별시,진저베어 파이샵,11
서울특별시,라온아트홀,3
서울특별시,동서울종합터미널,9
서울특별시,파크하얏트 서울,24
서울특별시,벨라쿠키 연남,10
서울특별시,혜화역 4호선,9
서울특별시,남산공원,1
NaN,BEP 2호점,11
시흥시,시흥 호텔 웨이브,24
서울특별시,봄날아트홀,3
서울특별시,양재역 3호선,9
용인시,빈티지패션팩토리 용인본점,4
인천광역시,카페 얼트,11
서울특별시,골든빌 고시원,22
화성시,카페인 중리,11
서울특별시,코엑스,9
서울특별시,회뜨는총각,11
고양시,롯데백화점 일산점,4
서울특별시,위코스테이 명동,24
여주시,178-12카페,11
화성시,초가집,11
